t_no	u_no	p_no	t_seat	t_discount
1	7	22	F06,B07	0,0
2	7	38	B07,C07	0,0
3	4	139	C07,D10	0,0
4	5	216	D10,B08	0,0
5	7	89	A07,D01	0,0
6	7	13	D01	0
7	9	290	D01,D06	0,0
8	3	154	D06	0
9	2	22	B08	0
10	1	267	B02	2
11	5	175	E08,E02	0,0
12	6	69	E02,B06	0,0
13	3	95	B06,F05	0,0
14	9	268	F05	0
15	10	139	D01	0
16	8	100	F01	0
17	9	53	F08,A04	0,0
18	10	170	C04,E02	0,0
19	1	76	E02,D02	0,0
20	10	130	D02,A07	2,2
21	5	71	A07,E10	0,0
22	1	191	E10,C04	0,0
23	2	278	C04	0
24	1	195	D06	0
25	6	18	B01,D02	0,0
26	7	160	D02,F06	0,0
27	7	184	F06,A02	1,1
28	3	74	A02,B08	0,0
29	8	147	B08	0
30	8	248	E05	0
31	9	266	C07,A08	0,0
32	6	51	A08,A03	0,0
33	5	279	A03,A09	0,0
34	5	8	A09,B10	0,0
35	7	245	B10	0
36	9	197	E06,A02	0,0
37	5	23	A02,F09	0,0
38	2	271	F09	0
39	5	223	F02	0
40	6	205	C01	0
41	3	219	E10,E09	0,0
42	7	73	E09,D02	0,0
43	1	251	D02	2
44	9	205	C05,A08	0,0
45	5	263	A08,D06	1,1
46	2	89	D06,D02	0,0
47	4	77	D02	0
48	8	218	B05	1
49	6	214	A06,E08	0,0
50	5	119	E08	0
51	7	108	F05	2
52	2	106	C07,F06	0,0
53	9	4	F06	0
54	8	120	C04	0
55	5	119	B02,D09	0,0
56	4	27	D09	0
57	6	56	B04,E04	0,0
58	1	35	E04,A03	0,0
59	6	8	A03	0
60	4	146	A04,B09	0,0
61	9	63	B09	0
62	4	118	F05,A10	0,0
63	5	56	A10,D04	1,1
64	5	103	D04,F04	0,0
65	3	210	F04	0
66	2	98	F01,E10	0,0
67	2	249	E10,D01	0,0
68	10	205	D01	0
69	7	126	F02,D01	0,0
70	8	142	D01,D05	0,0
71	10	103	D05	0
72	8	235	F04,D01	1,1
73	10	202	D01,A06	0,0
