No	Vaccine	Open	Close	Building
1	3	9:00:00	18:00:00	4
2	2	9:00:00	18:00:00	7
3	1	9:00:00	18:00:00	3
4	2	8:30:00	19:00:00	1
5	4	7:00:00	19:30:00	5
6	2	7:30:00	19:15:00	6
7	2	7:15:00	20:00:00	2
8	1	8:10:00	21:00:00	17
9	3	7:00:00	21:30:00	9
10	4	7:00:00	22:00:00	10
11	3	7:00:00	18:30:00	11
12	4	8:50:00	18:15:00	8
13	2	7:45:00	19:20:00	13
14	2	7:15:00	19:50:00	14
15	2	8:00:00	18:00:00	19
16	2	9:00:00	18:00:00	16
17	4	9:00:00	18:00:00	20
18	2	9:00:00	18:00:00	18
19	3	7:30:00	20:50:00	15
20	4	7:00:00	19:40:00	12
