node1	node2
16	15
15	17
17	18
18	14
14	13
13	12
12	16
12	11
11	10
10	13
10	31
31	20
20	19
19	18
17	24
24	26
26	25
25	22
22	23
23	24
23	19
22	21
25	27
27	28
28	21
21	20
31	30
30	29
28	29
29	33
32	8
30	32
8	10
8	9
9	11
9	7
7	6
32	36
36	41
41	5
6	5
8	6
7	3
5	4
4	3
3	2
2	1
1	4
40	1
40	41
1	43
43	45
45	39
39	40
39	190
190	37
37	38
38	39
35	37
38	191
43	192
192	193
193	42
42	194
194	44
44	48
48	49
48	50
49	51
49	47
47	195
47	52
51	54
54	66
66	53
50	53
52	196
196	197
197	55
52	198
198	54
198	199
199	197
66	200
200	201
201	202
202	67
67	63
63	203
203	55
203	204
63	65
65	204
205	205
204	205
205	206
55	206
206	56
205	207
207	56
207	62
62	64
65	64
64	208
208	209
209	210
210	211
211	71
64	72
62	61
61	57
56	57
57	59
59	58
61	73
73	72
72	71
71	212
212	70
70	213
213	214
214	215
215	216
216	217
217	218
218	219
58	222
222	221
221	220
220	219
69	68
68	60
60	73
60	58
191	42
34	227
227	35
35	36
33	228
228	34
33	229
229	230
38	231
231	232
232	237
237	236
236	235
235	234
240	239
239	238
238	234
234	233
240	241
241	233
232	233
241	242
242	166
53	243
243	244
244	245
246	245
246	247
247	248
248	249
249	250
250	134
134	135
135	136
135	129
129	130
130	131
131	132
132	133
133	134
133	154
154	153
153	152
152	150
150	145
145	146
146	147
147	250
147	148
148	149
149	138
138	137
137	136
136	128
128	127
127	126
126	125
125	124
124	123
123	122
122	90
90	82
82	124
90	91
91	92
92	93
93	94
94	95
95	96
96	97
97	98
98	99
99	100
100	101
101	102
102	103
103	104
104	105
105	106
106	107
107	109
109	108
108	110
110	111
111	112
112	113
113	114
114	115
115	116
116	117
117	118
118	119
119	120
120	121
121	108
111	89
89	79
79	78
78	77
77	76
76	75
75	251
251	252
252	253
253	69
89	88
88	87
87	86
86	85
85	84
84	83
83	82
81	80
80	79
167	166
166	165
165	141
141	140
140	139
139	138
145	144
144	151
150	254
254	155
151	150
155	156
156	157
157	158
158	255
255	162
255	255
255	255
159	255
159	160
160	161
161	162
162	142
142	143
143	144
142	141
161	163
163	164
164	165
164	169
169	170
170	171
171	172
172	173
159	256
256	173
171	160
170	174
174	175
175	176
176	168
168	167
168	169
176	177
177	178
178	179
179	180
180	181
181	230
181	182
182	183
183	184
184	187
187	185
185	186
186	188
188	182
180	257
257	189
189	258
258	188
259	258
259	186
259	260
260	189
261	262
261	260
262	185
180	263
263	264
264	265
265	266
266	267
267	268
268	269
269	270
270	277
270	278
271	278
271	272
272	273
273	274
274	275
275	276
276	277
276	279
279	278
283	278
283	280
283	282
282	281
281	280
280	279
1	223
223	224
224	225
225	46
46	226
226	195
158	255
81	82
289	309
83	309
309	82
91	310
310	90
299	310
127	311
311	128
298	311
162	312
312	255
312	288
141	313
313	165
313	287
279	314
314	280
314	285
269	315
315	271
315	284
88	317
317	87
317	290
92	318
318	91
304	318
96	319
319	97
319	305
57	320
320	56
320	306
52	321
321	47
321	300
195	322
322	226
322	291
224	323
323	223
323	292
30	324
324	31
324	294
18	325
325	14
325	302
167	316
316	230
316	286
177	326
326	326
178	326
166	327
327	167
327	295
326	307
328	297
136	328
328	137
138	329
329	139
308	329
