r_no	r_name	r_floor	r_max	r_height	r_old	r_money  	r_disable	r_explation
1	스페인해적선	1F	25		20세이상	7000	1	높은 파도를 헤치며 고대의 보물을 찾아 떠나는 스페인해적선! 이곳에 탑승한 당신은 이제부터 진정한 해적!
2	신밧드의 모험	1F	13	90cm이상		7000		보트를 타고 떠나는 지하 속 신밧드의 모험 이야기
3	후룸라이드	1F	4		11세이상	7500	1	통나무 배를 타고 공룡들이 살고 있는 정글 속으로! 급류에 밀려 폭포에서 떨어지는 스릴!
4	회전바구니	1F	15			5000		빙글~ 빙글~ 위로! 아래로! 한쪽으로 돌고~ 반대쪽으로 돌고~ 돌면서 즐기는 짜릿한 즐거움! 둥근 손잡이를 돌리면 회전속도가 더 빨라집니다.
5	로티트레인	1F	16			5500		로티의 꼬마기차를 타고 떠나는 여행~ 다같이 출발해 볼까요~~
6	3D 황야의 무법자 II	1F	10			7000		말 모양의 시뮬레이터를 타고 3D로 선보이는 서부 광산에서 악당을 물리치세요! 내가 바로 일등 보안관~
7	로티의 열기구여행	1F	10			5000		여수 엑스포 롯데관의 명물, 거대한 열기구가 새롭게 디자인을 마치고 롯데월드에 상륙!!
8	회전목마	1F	23			5000		64필의 아름다운 백마를 타고 떠나는 로맨틱한 여행!
9	플라이벤처	1F	25		6세이상	7000		온몸으로 짜릿한 하늘을 느끼며 대한민국의 명소와 판타지 세계를 만나보세요!
10	드래곤 와일드슈팅	1F	4	110cm이상		6000		로티왕이 살고있는 로티성에 심술쟁이 여왕드래곤과 익살스런 대왕 드래곤이 쳐들어왔어요! 기사로 멋지게 변신하여 위기에 빠진 로티성을 구해주세요!!
11	범퍼카	2F	5			4000	1	화려한 조명과 신나는 음악 속에서 스릴만점의 자동차 경주가 펼쳐진다. 
12	후렌치레볼루션	2F	20	110cm이상	11세이상	8000	1	롯데월드 어드벤처의 대표 롤러코스터! 짜릿한 하강과 정신이 아득해지는 원형 트랙에서 저세상 스릴을 느껴보세요!
13	월드모노레일	3F	18			7000		어드벤처의 환상적인 공연과 놀이시설 즐기는 사람들. 석촌호수를 배경으로 아름답게 펼쳐진 매직아일랜드의 낭만적인 분위기까지~ 
14	정글탐험보트	3F	6			6500	1	보트를 타고  떠나는 어둠 속 정글 급류 탐험! 동굴로 들어서는 순간 무시무시한 정글이 펼쳐지고, 보트는 급류에 휘말리는데… 
15	어크로스다크	4F	20	140cm이상		6000		무한한 에너지가 잠재되어 있는 큐브와 함께 20년 전 우주에서 실종된 아버지를 찾아 나서는 딸 '미아'의 스페이스 어드벤처
16	파라오의 분노	4F	8			5000		파라오의 보물을 찾아 떠나는 스릴만점 모션 다크 라이드!
17	풍선비행	4F	6	140cm이상	6세이상	6000		하늘 꼭대기에서 내려다본 작은 세계, 풍선을 타고 떠나 보십시오~ 롯데월드 최고의 전망코스~
18	제네바유람선	외부	7			4500		석촌호수의 잔잔한 물결 위를 유유히 떠가는 제네바 유람선! 지나는 곳마다 호수의 아름다운 경관과 함께 낭만이 펼쳐집니다.
19	혜성특급	외부	25		11세이상	8000	1	좌우로 회전하는 롤러코스터를 타고 떠나는 어둠 속 스펙터클 우주여행
20	환타지드림	외부	6		11세이상	5000		지하탐험 환상열차를 타고 달콤한 캔디와 귀여운 동물 인형들이 반기는 환상의 나라로! 꿈속을 달리는 즐거움을 만끽하세요~
21	자이로드롭	외부	21			8500	1	구름이 맞닿을 듯한 높이까지 올라갔다 한 순간에 떨어지는 스릴만점 어트랙션입니다.
22	자이로스핀	외부	20			8000	1	아시아 최초 저소음 무진동 회전 어트랙션! 입이 쩍~ 벌어지는 놀라운 스피드를 경험해 보세요!
23	고스트하우스	외부	6	90cm이상	11세이상	4500		피해갈 수 없는 공포가 엄습한다!! 국내 최초 3D 호러 입체 영상관!
24	쁘띠빵빵	외부	4	110cm이상	6세이상	7000		호숫가를 마음껏 질주할 수 있는 기회! 유럽풍 클래식 자동차를 타고 호수가를 달리는 상쾌한 레이스 한판.
25	회전그네	외부	10			6500	1	나뭇잎 의자에 앉아 4.5m 상공에서 시속 50km의 빠른 속도로 빙글빙글 도는 느낌이 금방이라도 하늘로 튕겨져 오르는 기분을 느낄 수 있습니다. 
26	머킹의 회전목마	외부	24			4500		머킹 왕실의 해마와 바다 생물들을 타며 즐기는 축제 한 마당
27	번지드롭	외부	20	90cm이상		7500	1	높이 38m의 짜릿함과 시속 90km로 추락 할 때의 스릴! 끝났구나 하고 안심하는 순간 한번 더~ 30초간 반복되는 번지드롭!
28	자이로스윙	외부	21		6세이상	8500	1	40여명이 둘러앉은 거대한 회전기구가 시계추처럼 움직여 회오리바람에 날려가 버리는 듯한 새로운 공포를 느낄 수 있습니다.
29	호반보트	외부	3			6000		호반의 정취! 보트의 낭만! 물 위를 고요하게 떠가는 백조와 호반보트 속에서 한 마음이 되어 오붓하게 즐기는 호반 보트놀이. 
30	아트란티스	외부	8			10000	1	최고 스릴 어트랙션! 시속 72km로 출발하는 보트를 타고 미스터리 신전 속으로 여행을 떠나보세요!
