t_no	u_no	t_date	r_no	t_magicpass
1	1	2021-09-28	4	
2	1	2021-09-28	2	
3	2	2021-09-28	20	
4	2	2021-09-28	5	
5	2	2021-09-28	20	
6	2	2021-09-28	23	
7	5	2021-09-28	15	
8	5	2021-09-28	16	
9	5	2021-09-28	20	
10	6	2021-09-28	11	
11	6	2021-09-28	3	
12	6	2021-09-28	30	
13	8	2021-09-28	24	
14	14	2021-09-28	7	
15	14	2021-09-28	13	
16	16	2021-09-28	4	
17	16	2021-09-28	15	
18	16	2021-09-28	26	
19	18	2021-09-28	29	
20	21	2021-09-28	9	
21	21	2021-09-28	7	
22	1	2021-09-29	13	
23	3	2021-09-29	23	
24	3	2021-09-29	13	
25	4	2021-09-29	12	
26	7	2021-09-29	14	
27	8	2021-09-29	20	
28	16	2021-09-29	13	
29	17	2021-09-29	11	
30	17	2021-09-29	11	
31	17	2021-09-29	11	
32	18	2021-09-29	2	
33	21	2021-09-29	9	
34	21	2021-09-29	7	
35	21	2021-09-29	10	
36	3	2021-09-30	29	
37	4	2021-09-30	11	
38	4	2021-09-30	11	
39	4	2021-09-30	1	
40	4	2021-09-30	11	
41	4	2021-09-30	11	
42	5	2021-09-30	23	
43	5	2021-09-30	17	
44	7	2021-09-30	19	
45	8	2021-09-30	15	
46	8	2021-09-30	10	
47	8	2021-09-30	18	
48	11	2021-09-30	18	
49	11	2021-09-30	6	
50	11	2021-09-30	2	
51	12	2021-09-30	22	
52	12	2021-09-30	22	
53	14	2021-09-30	5	
54	14	2021-09-30	8	
55	16	2021-09-30	2	
56	17	2021-09-30	22	
57	18	2021-09-30	23	
58	1	2021-10-01	7	
59	1	2021-10-01	6	
60	1	2021-10-01	29	
61	2	2021-10-01	15	
62	2	2021-10-01	8	1
63	2	2021-10-01	4	
64	3	2021-10-01	4	
65	3	2021-10-01	8	
66	3	2021-10-01	6	
67	4	2021-10-01	3	
68	5	2021-10-01	23	
69	5	2021-10-01	9	1
70	5	2021-10-01	2	
71	6	2021-10-01	3	
72	6	2021-10-01	3	
73	6	2021-10-01	3	
74	7	2021-10-01	3	
75	7	2021-10-01	11	
76	7	2021-10-01	1	
77	8	2021-10-01	2	
78	9	2021-10-01	26	
79	10	2021-10-01	11	
80	10	2021-10-01	11	
81	10	2021-10-01	3	
82	12	2021-10-01	11	
83	12	2021-10-01	3	1
84	14	2021-10-01	20	
85	16	2021-10-01	23	
86	18	2021-10-01	29	
87	19	2021-10-01	11	
88	19	2021-10-01	11	
89	19	2021-10-01	3	
90	20	2021-10-01	8	
91	2	2021-10-02	7	
92	2	2021-10-02	15	
93	4	2021-10-02	11	1
94	5	2021-10-02	2	
95	8	2021-10-02	13	
96	10	2021-10-02	3	
97	13	2021-10-02	25	
98	15	2021-10-02	5	
99	15	2021-10-02	4	
100	16	2021-10-02	6	
101	18	2021-10-02	23	
102	20	2021-10-02	24	
103	21	2021-10-02	17	
104	1	2021-10-03	15	1
105	1	2021-10-03	15	
106	1	2021-10-03	24	
107	2	2021-10-03	24	
108	3	2021-10-03	2	
109	3	2021-10-03	15	
110	3	2021-10-03	10	
111	3	2021-10-03	23	
112	4	2021-10-03	11	
113	4	2021-10-03	3	
114	5	2021-10-03	5	
115	5	2021-10-03	29	
116	11	2021-10-03	26	
117	15	2021-10-03	9	
118	15	2021-10-03	20	
119	15	2021-10-03	29	
120	15	2021-10-03	4	
121	16	2021-10-03	9	
122	18	2021-10-03	9	
123	1	2021-10-04	6	
124	2	2021-10-04	16	
125	4	2021-10-04	11	
126	9	2021-10-04	6	
127	9	2021-10-04	2	
128	9	2021-10-04	26	
129	11	2021-10-04	6	
130	18	2021-10-04	2	
131	19	2021-10-04	3	
132	20	2021-10-04	13	
133	20	2021-10-04	24	
134	20	2021-10-04	6	
