No	X	Y
001	1651	1423
002	1675	1439
003	1669	1558
004	1636	1538
005	1622	1576
006	1590	1685
007	1626	1702
008	1533	1849
009	1572	1864
010	1515	1979
011	1556	1987
012	1544	2106
013	1505	2098
014	1473	2228
015	1469	2298
016	1503	2269
017	1415	2291
018	1422	2215
019	1445	2130
020	1460	2017
021	1400	2016
022	1403	2076
023	1403	2132
024	1391	2283
025	1321	2077
026	1342	2194
027	1328	1962
028	1389	1943
029	1382	1906
030	1459	1907
031	1462	1971
032	1474	1823
033	1366	1814
034	1453	1784
035	1507	1671
036	1537	1683
037	1510	1561
038	1513	1494
039	1539	1491
040	1595	1504
041	1578	1543
042	1561	1300
043	1588	1406
044	1590	1190
045	1549	1446
046	1669	1249
047	1673	1109
048	1635	1137
049	1649	1117
050	1598	1068
051	1623	1049
052	1675	1010
053	1570	1003
054	1624	1009
055	1695	840
056	1694	714
057	1699	642
058	1695	519
059	1708	574
060	1637	550
061	1638	640
062	1634	706
063	1607	828
064	1609	702
065	1617	775
066	1596	1006
067	1591	885
068	1624	504
069	1583	502
070	1562	381
071	1583	563
072	1607	576
073	1636	585
074	1238	409
075	1191	407
076	1149	388
077	1110	354
078	1091	340
079	1069	339
080	1072	460
081	1080	511
082	1079	648
083	987	638
084	977	610
085	978	568
086	977	517
087	982	474
088	982	418
089	986	347
090	1162	654
091	1192	558
092	1215	487
093	1264	324
094	1270	280
095	1261	237
096	1230	221
097	1147	230
098	1081	240
099	1033	248
100	1025	226
101	1025	200
102	1058	194
103	1076	183
104	1073	129
105	1048	126
106	1016	133
107	985	139
108	973	196
109	973	172
110	978	228
111	979	259
112	948	255
113	913	257
114	900	296
115	888	277
116	890	224
117	888	181
118	906	188
119	910	226
120	925	206
121	944	205
122	1144	702
123	1111	708
124	1084	726
125	1079	762
126	1077	812
127	1065	902
128	1057	973
129	1009	960
130	925	946
131	905	962
132	900	1010
133	897	1054
134	950	1063
135	992	1028
136	1051	1037
137	1037	1133
138	1011	1202
139	989	1261
140	988	1326
141	985	1383
142	928	1377
143	920	1349
144	919	1275
145	920	1208
146	924	1157
147	949	1157
148	977	1159
149	999	1172
150	879	1208
151	876	1263
152	879	1173
153	878	1123
154	877	1086
155	834	1228
156	815	1271
157	816	1319
158	822	1368
159	824	1419
160	855	1420
161	893	1417
162	896	1393
163	909	1432
164	912	1497
165	986	1493
166	995	1548
167	1001	1638
168	923	1646
169	918	1587
170	868	1594
171	865	1529
172	832	1536
173	815	1523
174	820	1601
175	823	1667
176	842	1664
177	863	1772
178	897	1827
179	947	1902
180	966	1939
181	1005	1924
182	1038	2055
183	1072	2155
184	1067	2217
185	1001	2218
186	1017	2162
187	1036	2231
188	1028	2124
189	944	2077
190	1527	1551
191	1528	1388
192	1611	1370
193	1598	1320
194	1578	1252
195	1677	1170
196	1677	954
197	1689	918
198	1641	1009
199	1641	920
200	1589	944
201	1557	950
202	1556	879
203	1656	836
204	1655	776
205	1660	752
206	1692	754
207	1659	709
208	1545	709
209	1515	711
210	1518	682
211	1557	642
212	1579	461
213	1562	326
214	1537	308
215	1532	287
216	1558	272
217	1608	271
218	1647	273
219	1683	282
220	1677	360
221	1673	406
222	1681	468
223	1660	1374
224	1669	1325
225	1664	1290
226	1683	1227
227	1486	1744
228	1405	1792
229	1311	1838
230	1007	1834
231	1417	1496
232	1292	1519
233	1193	1519
234	1196	1431
235	1242	1428
236	1281	1453
237	1294	1489
238	1148	1432
239	1115	1447
240	1095	1490
241	1096	1525
242	1040	1525
243	1511	1007
244	1466	1033
245	1402	1105
246	1308	1138
247	1180	1155
248	1062	1157
249	975	1138
250	948	1113
251	1296	412
252	1400	433
253	1500	480
254	862	1229
255	823	1401
256	804	1436
257	963	2009
258	985	2105
259	972	2135
260	934	2116
261	921	2157
262	937	2185
263	885	1941
264	822	1940
265	808	1918
266	808	1875
267	808	1818
268	807	1755
269	780	1727
270	781	1669
271	644	1729
272	538	1735
273	494	1728
274	492	1407
275	729	1408
276	734	1571
277	779	1576
278	639	1665
279	640	1574
280	530	1573
281	505	1577
282	513	1661
283	537	1667
284	691	1787
285	584	1533
286	981	1723
287	949	1418
288	869	1364
289	1024	618
290	1007	441
291	1707	1181
292	1694	1355
293	1362	2055
294	1483	1931
295	975	1589
296	1233	1550
297	1023	1084
298	1036	924
299	1156	607
300	1694	1048
301	1503	1719
302	1445	2238
303	964	931
304	1163	492
305	1193	281
306	1718	685
307	912	1785
308	977	1202
309	1023	643
310	1175	611
311	1061	935
312	858	1392
313	985	1419
314	583	1573
315	694	1731
316	1009	1719
317	981	445
318	1204	521
319	1187	225
320	1697	681
321	1675	1048
322	1679	1201
323	1664	1351
324	1461	1939
325	1448	2221
326	883	1806
327	999	1589
328	1044	1087
329	998	1237
330	1359	2078
331	1496	1705
332	1232	1521
333	979	952
