serial	name	about
1	Yellowcard	속도감 있는 사운드, 그리고 팝 펑크에 담은 바이올린 선율로 주목받은 밴드. 팝펑크에 바이올린 주자가 정멤버로 있는 특이한 밴드. 그들의 곡을 들어보면 보통 리드기타가 멜로디를 치는 자리에 바이올린 선율이 대신하는 경우도 종종 있다. 꽤 어울리는 편이다
2	The Script	기본적으로 록을 표방하고 있지만, 소울이 가미된 곡도 많으며  랩까지도 섞는 즉 장르에 얽매이지 않는 음악을 한다. 가사가 화려하기보다 오히려 투박하고 기교를 부리는건 아니지만 마약과 같은 자극적인 소재보다는 소박한 사랑이야기나 약자들에게 힘을 주는 가사가 많다. 노래의 가사가 마치 소설이나 시처럼 표현되어있는 것이 특징. 단순히 같은 음이 반복되는 일부 음악들과 달리 가사를 찾아서 읽어보면 마치 이야기나 시를 읽는 듯한 느낌을 준다.
3	Gym Class Heroes	미국의 4인조 밴드로, 록밴드지만 리드 보컬인 트래비 맥코이는 랩에도 상당한 실력자기 때문에 곡에 랩 파트가 들어가기도 하며, 장르를 딱 잘라서 구분하기 어려운 것이 특징.
4	B.o.B	본명은 Bobby Ray Simmons, Jr. 통칭 B.o.B로서 비오비라 부르기도 하고 그냥 밥이라고도 부른다. 본명을 줄인 바비 레이라고 부르기도 한다
5	Fall Out Boy	Fall Out Boy. 미국의 밴드. 2001년 초 조 트로먼, 피트 웬츠, 패트릭 스텀프에 의해 결성되었다. 펑크 락으로 분류된다는 것 때문에 그린데이와 연관이 되기도 하지만 좀 다른 사운드를 구사한다.
6	Panic! At The Disco	미국의 팝 록 밴드. 주로 '패닉!' 또는 'P!ATD'로 자주 불린다. The Killers와 함께 네바다주 라스베가스 출신의 가장 성공한 밴드로서도 유명하다.
7	Boys Like girls	대한민국 방송의 배경음악에 가장 많이 쓰이는 밴드라고 해도 과언이 아니다. 보이즈 라이크 걸즈(Boys Like Girls)는 4명으로 구성된 매사추세츠주 보스턴 출신 미국의 록 밴드이다. 2005년 말에 결성되어 큐트 이스 웟 위 에임 포어, 히트 더 라이츠, 부치 워커와 함께 미국 내 전국 투어를 했다. 그리고 푸어볼륨에서는 정식 데뷔하기 전의 밴드 순위에서 1위를 차지하기도 했다.
8	OneRepublic	2002년 결성하고 2007년 메이저에 데뷔한 미국의 록밴드이지만, 팝 록, 얼터너티브 록 밴드에 더 가깝다고 할 수 있다.
9	Owl City	아울 시티는 아담 랜달 영(Adam Randal Young)의 원맨 밴드 프로젝트이다[3]. 부모님 집의 지하실에서 인디 프로젝트로 시작되어 2007년, 유니버설 소속으로 데뷔하였다.
10	Maroon 5	미국 캘리포니아 주 로스앤젤레스 출신의 팝 록 밴드. 2021년 현재 세계에서 가장 인기있는 밴드 중 하나로 한국에서도 그 인기가 엄청나다.
