serial	user	artist	rate	content	date
1	9	1	5	 뭐 이미 앨범 지른지도 오래다만 진짜 들어도 들어도 죽인다. 특히 afraid와 you and me and one spotlight은 질리지않음. 	2021-05-02
2	49	24	2	근데 라이브 음원이 주는 웅장함이 있어서 유튜브로 계속 보는 중...	2021-05-05
3	42	12	4	이노래 추천이요	2021-05-05
4	14	28	4	그 차가운 겨울 느낌이 너무 잘 느껴짐... 그래서 더 좋고 그리운 앨범	2021-05-08
5	59	8	3	첼로 깔리는 노래가 너무 좋아요 첼로 들으려고 이노래 들어요	2021-05-09
6	48	30	5	이 시절 너무나도 그립다...	2021-05-10
7	4	8	3	명곡이에요 처음 들었을때의 전율을 잊지 못하는 몇년전 앨범인 다시 찾게되었다. 음악다운 앨범 everybody loves me 역시	2021-05-14
8	27	29	5	진짜 노래 하나하나가 다 타이틀 곡이네 ㄹㅇ... 모든 곡 공동타이틀하지	2021-05-15
9	19	7	4	캬 진짜 오랜만이네 ㅋㅋㅋ 몇년만에 듣는거지 	2021-05-15
11	39	19	5	아티스트 프로필 사진 좀 젊어보이는 걸로 바꿔주세요 위르겐 클롭인 줄 알았습니다 진심 ㅠ 	2021-05-22
13	33	6	4	테일러랑 me 불렀을때도 목소리 되게좋아서 눈여겨봤는데 패닉앳더디스코 노래들으니 더좋네요 세상에	2021-05-24
14	46	33	5	정말 큰 위로가 됩니다. 생각치도 못하게 사랑하는 사람이 코로나에 확진이 되어 너무 마음이 아팠는데 이 밤 위안이 됩니다.	2021-05-26
15	11	2	5	앨범에 버릴 노래가 1도 없네 진짜 다 좋다ㅠㅠ쵝오 	2021-05-26
16	2	20	2	와 이게 벌써 9년 전 노래라니...	2021-05-27
18	44	13	4	viva la vida로 시작해서 얘가 이 엘범 최애곡	2021-05-29
19	61	13	5	10년전 고등학생 시절.. <배철수의 음악캠프>를 듣고 있는데 이 노래가 나오더라. 문화충격을 받을 정도로 신선했고, 듣자마자 빠져들었다.	2021-05-30
20	21	17	4	와 트레인..이앨범 진짜 트렌디하고 다 너무 좋다	2021-05-30
21	7	21	5	모바일에서 작성된 글	2021-06-02
22	54	10	5	후렴부 넘 좋아 중독됩니다.	2021-06-04
24	9	14	5	저 한 번만 믿고 이거 진짜 들어봐요...갓띵곡...못빠져나옴..	2021-06-05
25	38	4	3	ㅋㅋㅋㅋ	2021-06-05
26	3	33	5	Thanks for this beautiful consolation 	2021-06-07
27	22	26	5	방탄덕질은 행복합니다 버터에 이어서 어떤 띵곡이 타이틀곡으로 나올까? 궁금	2021-06-08
28	26	1	2	왜이렇게 댓글이 많지? 이벤트라도 했나?	2021-06-11
29	48	8	5	와 출근길 라디오에서 나오길래 검색해서 듣는데 겁나 좋네 와씨 	2021-06-11
30	32	10	3	요새 maps에 꽂혀서 하루라도 안들으면 안됨 그와중에 이게 명반이 아니라니	2021-06-12
31	46	26	5	대박ㅠㅠㅠㅠㅠ 시험 끝나고 팽팽 놀때 컴백이라니ㅠㅠㅠㅠㅠㅠ 이게 무슨 행운이야ㅠㅠㅠㅠㅠ 맨날 시험기간 겹쳐서 힘들었는데ㅠㅠㅠㅠㅠㅠ	2021-06-13
32	34	26	4	킹탄이들 또 컴백하구려... ( ˃̣̣̣̣̣̣o˂̣̣̣̣̣̣ ) 이번엔 또 어떤 곡이 나올지 두근둑흔	2021-06-13
33	2	29	5	내가저지른사랑이 벌써 4년전이라고?	2021-06-14
34	36	22	5	노래 특) ???: 안녕하세요 ♪♪♪TV 입니다 여진 칼리스타 지금 못막습니다 	2021-06-15
35	9	8	3	음악은 좋긴 좋은데 하...참.........쉴드 불가인건 사실..	2021-06-16
36	70	25	5	갠적으로 사유리랑 히로 목소리 조합 대박이라고 생각하는데... 둘 다 음색이 남달라서 다시는 이런 조합 못볼듯	2021-06-17
38	42	26	5	(밑에) 그래 너무 좋아서 욕나오지..	2021-06-18
39	22	26	5	공연장에서 듣고싶어요 ㅜㅜ	2021-06-18
40	63	26	4	욕한다?	2021-06-23
41	27	17	4	트레인은 정말 묵묵하고 꾸준하게 자신들만의 음악을 하는 밴드인듯!	2021-06-24
42	30	21	5	River, 그리고 진짜 애정하는 곡	2021-06-25
