no	user	song
1	1	975
2	1	236
3	1	474
4	1	603
5	1	117
6	2	309
7	2	83
8	2	265
9	2	836
10	2	314
11	2	793
12	2	242
13	2	653
14	2	627
15	3	873
16	3	737
17	3	423
18	3	908
19	3	46
20	3	140
21	4	204
22	4	220
23	4	787
24	4	170
25	4	865
26	5	548
27	5	714
28	5	387
29	5	56
30	5	737
31	6	817
32	6	666
33	6	391
34	6	768
35	6	487
36	6	48
37	7	995
38	7	361
39	7	626
40	7	507
41	7	950
42	7	784
43	7	718
44	7	793
45	8	585
46	8	321
47	8	100
48	8	58
49	8	200
50	8	861
51	8	316
52	8	555
53	8	90
54	9	569
55	9	896
56	9	332
57	9	47
58	9	378
59	9	419
60	9	634
61	10	691
62	10	445
63	10	161
64	10	633
65	10	817
66	11	281
67	11	107
68	11	817
69	11	446
70	11	215
71	11	852
72	11	576
73	11	109
74	11	945
75	12	312
76	12	196
77	12	486
78	12	858
79	12	503
80	12	244
81	12	84
82	12	566
83	13	907
84	13	734
85	13	123
86	13	354
87	13	537
88	13	255
89	13	500
90	13	486
91	14	870
92	14	868
93	14	571
94	14	998
95	14	622
96	15	143
97	15	710
98	15	727
99	15	465
100	15	99
101	15	254
102	15	569
103	15	501
104	16	655
105	16	933
106	16	293
107	16	643
108	16	972
109	16	174
110	16	467
111	16	983
112	16	324
113	17	148
114	17	237
115	17	89
116	17	613
117	17	409
118	17	792
119	17	294
120	17	233
121	18	514
122	18	770
123	18	456
124	18	93
125	18	69
126	18	567
127	19	269
128	19	789
129	19	670
130	19	13
131	19	856
132	19	222
133	19	521
134	19	347
135	19	875
136	19	630
137	20	955
138	20	794
139	20	535
140	20	739
141	20	132
142	20	154
143	20	956
144	20	163
145	20	123
146	20	677
147	20	905
148	20	879
149	21	580
150	21	345
151	21	597
152	21	977
153	21	990
154	21	998
155	21	128
156	21	303
157	21	746
158	22	607
159	22	462
160	22	368
161	22	354
162	22	161
163	22	588
164	23	39
165	23	681
166	23	450
167	23	884
168	23	541
169	23	750
170	24	664
171	24	222
172	24	12
173	24	1
174	24	153
175	24	677
176	25	266
177	25	254
178	25	146
179	25	847
180	25	889
181	26	240
182	26	236
183	26	874
184	26	681
185	26	670
186	26	375
187	26	194
188	27	953
189	27	409
190	27	165
191	28	57
192	28	983
193	28	134
194	28	397
195	28	91
196	28	76
197	28	470
198	29	968
199	29	680
200	29	412
201	29	113
202	29	854
