SERIAL	SONG	USER	DATE
1	407	53	2021-07-01
2	418	38	2021-07-01
3	991	32	2021-07-01
4	477	49	2021-07-01
5	877	68	2021-07-01
6	16	13	2021-07-01
7	781	59	2021-07-01
8	497	47	2021-07-01
9	257	44	2021-07-01
10	953	30	2021-07-01
11	20	29	2021-07-01
12	722	64	2021-07-01
13	445	1	2021-07-01
14	1000	5	2021-07-01
15	641	66	2021-07-01
16	911	52	2021-07-01
17	2	48	2021-07-01
18	194	45	2021-07-01
19	636	28	2021-07-01
20	93	40	2021-07-01
21	391	70	2021-07-01
22	457	24	2021-07-01
23	191	35	2021-07-01
24	612	69	2021-07-01
25	826	15	2021-07-01
26	74	8	2021-07-01
27	849	11	2021-07-01
28	250	47	2021-07-01
29	137	51	2021-07-01
30	478	17	2021-07-01
31	970	4	2021-07-01
32	682	62	2021-07-01
33	659	52	2021-07-01
34	114	27	2021-07-01
35	651	17	2021-07-01
36	654	34	2021-07-01
37	551	46	2021-07-01
38	47	45	2021-07-01
39	422	60	2021-07-01
40	89	48	2021-07-01
41	928	39	2021-07-01
42	7	20	2021-07-01
43	81	38	2021-07-01
44	513	45	2021-07-01
45	234	23	2021-07-01
46	994	26	2021-07-01
47	292	54	2021-07-01
48	660	61	2021-07-01
49	904	52	2021-07-01
50	464	70	2021-07-01
51	793	8	2021-07-01
52	596	34	2021-07-01
53	855	29	2021-07-01
54	462	60	2021-07-01
55	247	69	2021-07-01
56	444	67	2021-07-01
57	133	54	2021-07-01
58	390	67	2021-07-01
59	689	45	2021-07-01
60	329	7	2021-07-01
61	495	40	2021-07-01
62	761	27	2021-07-01
63	101	46	2021-07-01
64	986	37	2021-07-01
65	524	28	2021-07-01
66	191	49	2021-07-01
67	570	32	2021-07-01
68	136	69	2021-07-02
69	766	13	2021-07-02
70	549	23	2021-07-02
71	952	68	2021-07-02
72	990	64	2021-07-02
73	940	4	2021-07-02
74	115	55	2021-07-02
75	496	44	2021-07-02
76	284	35	2021-07-02
77	683	19	2021-07-02
78	558	28	2021-07-02
79	845	35	2021-07-02
80	261	63	2021-07-02
