serial	name	length	album	titleSong
1	Way Away	0:04:03	1	0
2	Breathing	0:04:02	1	0
3	Ocean Avenue	0:04:00	1	1
4	Empty Apartment	0:04:36	1	0
5	Life os a Salesmen	0:03:23	1	0
6	Only One	0:05:04	1	0
7	Miles Apart	0:04:34	1	0
8	Twenty Three	0:05:16	1	0
9	View from Heaven	0:03:50	1	0
10	Inside Out	0:05:16	1	0
11	Believe	0:04:50	1	0
12	One Year, Six Months	0:04:16	1	0
13	Back Home	0:04:57	1	0
14	Three Fights Up	0:04:28	2	0
15	Light and Sounds	0:04:30	2	1
16	Down on My Head	0:04:59	2	0
17	Sure Thing Falling	0:05:34	2	0
18	City of Devils	0:05:35	2	0
19	Rough Landing, Holly	0:04:12	2	0
20	Two weeks from Twenty	0:04:10	2	0
21	Waiting Game	0:04:01	2	0
22	Martin Sheen of JFK	0:03:44	2	0
23	Space Travel	0:05:31	2	0
24	Grey	0:04:02	2	0
25	Word, Hands, Hearts	0:04:46	2	0
26	How I Go	0:05:31	2	0
27	Holly Wood Deid	0:03:34	2	0
28	The Takedown	0:05:39	3	0
29	Fighting	0:05:13	3	0
30	Shrink the World	0:04:47	3	0
31	Keeper	0:05:35	3	0
32	Light up the Sky	0:03:53	3	0
33	Shadows and Regrets	0:05:04	3	0
34	Five Becomes Four	0:05:02	3	0
35	Afraid	0:04:59	3	0
36	Date Line(I Am Gone)	0:03:45	3	0
37	Dear Bobbie	0:04:48	3	0
38	You nad Me and One Spotlight	0:04:28	3	0
39	Cut Me, Mick	0:04:38	3	0
40	Paper Walls	0:05:15	3	1
41	The Sound of You and Me	0:04:23	4	0
42	For You, and Your Denial	0:05:09	4	1
43	With You Around	0:03:36	4	0
44	Hang You up	0:03:33	4	0
45	Life of Leaving Home	0:04:31	4	0
46	Hide	0:03:43	4	0
47	Sountrack	0:05:30	4	0
48	Sing for Me	0:05:39	4	0
49	See Me Smiling	0:03:45	4	0
50	Be the Young	0:05:34	4	0
51	Awakening	0:05:46	5	0
52	Surfcace of the Sun	0:03:53	5	0
53	Always Summer	0:03:25	5	0
54	Here I am Alive	0:05:16	5	1
55	Sleep in the Snow	0:04:33	5	0
56	A Vicious Kind	0:04:05	5	0
57	Telescope	0:05:33	5	0
58	Rivertown Blues	0:04:02	5	0
59	Ten	0:04:41	5	0
60	Southern Air	0:05:32	5	0
61	We Cry	0:05:40	6	0
62	Before the worst	0:05:30	6	0
63	Talk you down	0:05:33	6	0
64	The Man Who can't be Moved	0:05:26	6	1
65	Breakeven	0:05:47	6	0
66	Rusty Halo	0:03:47	6	0
67	The End where I begin	0:05:03	6	0
68	You won't feel a thing	0:04:52	7	0
69	For the firs time	0:05:27	7	0
70	Nothing	0:04:38	7	0
71	Science & faith	0:04:16	7	0
72	If you ever come back	0:05:41	7	1
73	Long gone and moved on	0:04:20	7	0
74	Dead man walking	0:05:27	7	0
75	This=Love	0:05:49	7	0
76	Walk away	0:05:28	7	0
77	Good ol' days	0:04:44	8	0
78	Six degress of spparation	0:04:53	8	0
79	Hall of fame	0:03:58	8	1
80	If you could see me now	0:04:05	8	0
81	Glowing	0:03:23	8	0
82	Give the love around	0:03:48	8	0
83	Broken arrow	0:04:56	8	0
84	Breakeven (Live at the Aviva Stadium)(Bonus Track)	0:04:05	8	0
85	No Good in Goodbye	0:03:25	9	0
86	Superheroes	0:03:52	9	1
87	Man On A Wire	0:05:41	9	0
88	It's Not Right For You	0:04:26	9	0
89	The Energy Never Dies	0:05:35	9	0
90	Flares	0:03:49	9	0
91	Army of Angels	0:05:21	9	0
92	Paint The Town Green	0:05:35	9	0
93	Za Intro	0:04:02	10	0
94	Papercuts	0:05:47	10	0
95	Pertrified Life and the Twice Told Joke (Decrepit Bricks)	0:03:33	10	0
96	Make Out Club	0:04:45	10	0
97	Taxi Driver	0:05:03	10	0
98	So Long Friend	0:03:43	10	0
99	Everyday's Forecast	0:03:59	10	0
100	Pillmatic	0:03:41	10	0
101	Simple Living	0:04:53	10	0
102	Cupid's Chokehold / Breakfast In America	0:04:31	10	1
103	Faces In the Hall	0:03:27	10	0
104	Graduation Day	0:04:52	10	0
105	Za Intro	0:05:15	11	0
106	Martyrial Girl$	0:03:36	11	0
107	Life Goes On (feat. Oh Land)	0:05:46	11	0
108	Stereo Hearts (feat. Adam Levine)	0:03:40	11	1
109	Solo Discotheque (Whiskey Bitness)	0:04:36	11	0
110	Holy Horeshit, Batman!!	0:05:45	11	0
