No	User	When	Building	Price
1	1	2022-04-06 3:08	5	4500
2	1	2022-04-02 16:52	4	30000
3	1	2022-01-12 22:07	18	4500
4	1	2022-08-21 21:07	11	26000
5	1	2022-01-11 3:47	6	30000
6	1	2022-07-03 5:34	5	4500
7	1	2022-06-06 20:42	16	30000
8	1	2022-06-16 22:14	15	30000
9	1	2022-07-28 23:05	10	30000
10	1	2022-08-17 18:03	14	4500
11	2	2022-03-16 9:36	20	12000
12	2	2022-08-19 17:12	2	4500
13	2	2022-02-18 5:53	14	4500
14	2	2022-06-01 18:14	17	26000
15	2	2022-01-08 1:46	7	30000
16	2	2022-07-09 17:45	5	4500
17	2	2022-04-19 8:00	17	26000
18	2	2022-05-13 10:09	15	30000
19	2	2022-08-22 20:46	16	30000
20	2	2022-03-04 3:42	3	4500
21	2	2022-03-14 14:57	19	4500
22	2	2022-08-05 1:38	7	30000
23	2	2022-07-15 0:22	6	30000
24	2	2022-01-26 9:01	1	30000
25	2	2022-07-06 8:20	6	30000
26	2	2022-02-02 7:49	3	4500
27	2	2022-05-30 2:33	19	4500
28	3	2022-05-10 20:02	20	12000
29	3	2022-08-25 20:56	5	4500
30	3	2022-04-28 22:44	12	12000
31	3	2022-04-25 4:30	13	12000
32	3	2022-06-10 11:06	19	4500
33	3	2022-04-06 9:34	10	30000
34	3	2022-01-02 12:22	7	30000
35	3	2022-07-16 14:24	19	4500
36	4	2022-01-18 9:30	15	30000
37	4	2022-01-29 17:23	17	26000
38	4	2022-08-17 8:07	4	30000
39	4	2022-08-18 16:22	11	26000
40	4	2022-05-16 18:07	17	26000
41	4	2022-03-31 1:35	9	12000
42	5	2022-01-07 20:34	12	12000
43	5	2022-08-21 3:30	6	30000
44	5	2022-01-19 21:16	20	12000
45	5	2022-06-02 22:59	1	30000
46	5	2022-02-13 11:26	3	4500
47	5	2022-02-13 8:48	1	30000
48	5	2022-06-12 15:50	15	30000
49	5	2022-05-16 2:29	13	12000
50	5	2022-08-27 17:28	16	30000
51	5	2022-08-28 6:16	14	4500
52	5	2022-01-08 15:02	20	12000
53	6	2022-03-02 15:46	14	4500
54	6	2022-02-01 22:04	10	30000
55	6	2022-02-20 9:35	8	26000
56	6	2022-01-29 10:00	2	4500
57	6	2022-07-06 1:24	2	4500
58	6	2022-07-31 1:35	7	30000
59	6	2022-06-17 21:06	19	4500
60	6	2022-05-05 4:12	5	4500
61	6	2022-01-22 19:30	4	30000
62	6	2022-07-27 3:38	8	26000
63	6	2022-05-19 3:52	1	30000
64	7	2022-07-12 18:00	5	4500
65	7	2022-02-05 3:40	13	12000
66	7	2022-04-26 4:48	18	4500
67	7	2022-02-11 9:31	16	30000
68	7	2022-02-02 19:14	10	30000
69	7	2022-07-16 6:46	19	4500
70	7	2022-01-26 0:54	1	30000
71	7	2022-04-16 9:36	15	30000
72	7	2022-07-06 16:25	2	4500
73	8	2022-02-08 2:01	4	30000
74	8	2022-01-06 7:52	9	12000
75	8	2022-05-23 13:05	10	30000
76	8	2022-05-31 14:20	1	30000
77	8	2022-04-01 19:59	4	30000
78	8	2022-05-21 4:09	13	12000
79	8	2022-07-27 1:17	14	4500
80	9	2022-04-29 23:53	9	12000
81	9	2022-08-08 0:55	8	26000
82	9	2022-08-03 11:54	4	30000
83	9	2022-03-06 0:39	9	12000
84	9	2022-08-03 19:17	8	26000
85	9	2022-03-07 22:47	12	12000
86	9	2022-04-13 3:27	2	4500
87	9	2022-05-13 0:23	15	30000
88	9	2022-03-24 3:42	5	4500
89	9	2022-01-08 10:43	4	30000
90	9	2022-08-24 3:14	15	30000
91	9	2022-06-09 8:09	14	4500
92	10	2022-06-26 23:21	17	26000
93	10	2022-02-12 22:11	7	30000
94	10	2022-07-22 9:53	15	30000
95	10	2022-05-04 18:35	19	4500
96	10	2022-07-22 5:44	16	30000
97	10	2022-06-10 3:21	17	26000
98	10	2022-03-06 14:13	2	4500
99	10	2022-02-03 1:00	2	4500
100	10	2022-03-30 4:05	16	30000
