no	name	open	close	info	type	x	y
1	인하대학교진료소	8:30:00	19:00:00	인하대학교진료소입니다.	0	1694	1048
2	가천대학교길진료소	7:15:00	20:00:00	가천대학교길진료소입니다.	0	1007	441
3	인천성모진료소	9:00:00	18:00:00	인천성모진료소입니다.	0	691	1787
4	검단탑병원	9:00:00	18:00:00	검단탑병원입니다.	1	1483	1931
5	동인천길병원	7:00:00	19:30:00	동인천길병원입니다.	1	1362	2055
6	국제성모병원	7:30:00	19:15:00	국제성모병원입니다.	1	1707	1181
7	나사렛국제병원	9:00:00	18:00:00	나사렛국제병원입니다.	1	1694	1355
8	나은병원	8:50:00	18:15:00	나은병원입니다.	1	1503	1719
9	부평세림병원	7:00:00	21:30:00	부평세림병원입니다.	1	981	1723
10	성민병원	7:00:00	22:00:00	성민병원입니다.	1	949	1418
11	온누리진료소	7:00:00	18:30:00	온누리진료소입니다.	0	1024	618
12	인천광역시진료소	7:00:00	19:40:00	인천광역시진료소입니다.	0	1233	1550
13	인천기독병원	7:45:00	19:20:00	인천기독병원입니다.	1	964	931
14	인천사랑병원	7:15:00	19:50:00	인천사랑병원입니다.	1	1023	1084
15	인천적십자진료소	7:30:00	20:50:00	인천적십자진료소입니다.	0	584	1533
16	한림진료소	9:00:00	18:00:00	한림진료소입니다.	0	869	1364
17	메디플렉스 세종진료소	8:10:00	21:00:00	메디플렉스 세종진료소입니다.	0	1445	2238
18	인천백진료소	9:00:00	18:00:00	인천백진료소입니다.	0	1156	607
19	비에스종합병원	8:00:00	18:00:00	비에스종합병원입니다.	1	1036	924
20	인천보훈병원	9:00:00	18:00:00	인천보훈병원입니다.	1	975	1589
21	새누리아파트			새누리아파트입니다.	2	1163	492
22	아이파크			아이파크입니다.	2	1193	281
23	레미안			레미안입니다.	2	977	1202
24	아크로			아크로입니다.	2	912	1785
25	바이스 자이파크			바이스 자이파크입니다.	2	1718	685
26					-1	1651	1423
27					-1	1675	1439
28					-1	1669	1558
29					-1	1636	1538
30					-1	1622	1576
31					-1	1590	1685
32					-1	1626	1702
33					-1	1533	1849
34					-1	1572	1864
35					-1	1515	1979
36					-1	1556	1987
37					-1	1544	2106
38					-1	1505	2098
39					-1	1473	2228
40					-1	1469	2298
41					-1	1503	2269
42					-1	1415	2291
43					-1	1422	2215
44					-1	1445	2130
45					-1	1460	2017
46					-1	1400	2016
47					-1	1403	2076
48					-1	1403	2132
49					-1	1391	2283
50					-1	1321	2077
51					-1	1342	2194
52					-1	1328	1962
53					-1	1389	1943
54					-1	1382	1906
55					-1	1459	1907
56					-1	1462	1971
57					-1	1474	1823
58					-1	1366	1814
59					-1	1453	1784
60					-1	1507	1671
61					-1	1537	1683
62					-1	1510	1561
63					-1	1513	1494
64					-1	1539	1491
65					-1	1595	1504
66					-1	1578	1543
67					-1	1561	1300
68					-1	1588	1406
69					-1	1590	1190
70					-1	1549	1446
71					-1	1669	1249
72					-1	1673	1109
73					-1	1635	1137
74					-1	1649	1117
75					-1	1598	1068
76					-1	1623	1049
77					-1	1675	1010
78					-1	1570	1003
79					-1	1624	1009
80					-1	1695	840
81					-1	1694	714
82					-1	1699	642
83					-1	1695	519
84					-1	1708	574
85					-1	1637	550
86					-1	1638	640
87					-1	1634	706
88					-1	1607	828
89					-1	1609	702
90					-1	1617	775
91					-1	1596	1006
92					-1	1591	885
93					-1	1624	504
94					-1	1583	502
95					-1	1562	381
96					-1	1583	563
97					-1	1607	576
