no	rate	building	user	review
1	2	1	46	그닥…
2	4	1	32	시설이 좋아요.
3	4	1	48	직원분들이 친절해요.
4	2	1	20	이상한 냄새가 나요.
5	4	1	50	제가 가본 곳 중에서 가장 괜찮았던 것 같아요.
6	2	1	24	엄청 오래 기달렸습니다..
7	5	2	34	최고에요
8	4	2	50	
9	1	2	37	
10	4	2	47	
11	2	2	39	
12	3	3	30	괜찮았던 것 같습니다.
13	3	3	11	
14	5	3	36	시설이 엄청 깔끔했어요.
15	4	3	8	
16	5	4	19	직원분들이 엄청 친절했습니다!!
17	5	4	5	
18	2	4	28	
19	2	5	21	
20	1	6	9	최악이었습니다..
21	2	6	23	
22	0	6	32	절대 오고 싶지 않은 곳
23	4	6	31	
24	2	7	15	
25	2	7	27	
26	5	7	44	
27	0	7	45	
28	5	8	28	
29	0	8	6	
30	5	8	43	
31	1	8	34	
32	1	9	38	
33	4	9	15	
34	2	9	14	
35	3	9	49	
36	3	9	2	
37	2	10	21	
38	4	10	48	
39	4	10	20	
40	3	11	45	
41	4	11	35	시설 좋네요.
42	1	11	11	
43	3	11	32	
44	3	12	17	
45	0	12	8	
46	0	12	6	
47	4	12	31	
48	4	12	29	
49	0	12	50	
50	1	13	23	
51	2	13	36	
52	5	13	34	
53	4	13	8	
54	1	13	26	
55	0	13	9	
56	1	14	25	
57	3	14	8	
58	4	14	6	
59	3	15	49	
60	4	15	4	
61	5	15	46	
62	1	15	11	
63	2	15	28	
64	0	15	36	
65	4	15	18	
66	3	16	3	
67	5	16	36	
68	1	17	9	
69	4	17	46	
70	4	17	6	
71	1	17	32	
72	5	17	49	
73	5	17	16	
74	0	18	25	
75	0	18	13	
76	4	18	1	
77	1	18	17	
78	5	19	5	
79	0	19	19	
80	4	19	41	
81	5	19	27	
82	3	20	41	
83	5	20	27	
84	1	20	39	
85	4	20	37	
86	4	334	15	
87	3	334	8	
88	3	334	1	
89	0	334	38	
90	3	334	16	
91	4	334	49	
92	3	334	32	
93	3	334	21	
94	5	334	3	
95	4	335	27	
96	0	335	7	
97	4	335	37	
98	4	335	42	
99	5	335	38	
100	1	335	2	
101	5	335	3	
102	5	336	7	
103	5	336	28	
104	1	336	49	
105	2	336	27	
106	5	336	33	지금 까지 가본 병원 중에서 가장 좋았던 것 같습니다.
107	4	336	21	
108	0	336	34	
109	2	337	42	
110	0	337	7	
111	5	337	32	
112	5	337	27	
113	3	337	20	
114	1	338	46	
115	2	338	33	
116	1	338	19	
117	1	338	21	
118	2	338	14	
119	0	338	47	
120	2	339	32	
121	5	339	10	
122	5	339	12	
123	4	339	17	
124	0	339	36	
125	5	339	33	
126	1	339	13	
127	2	340	50	
128	3	340	6	
129	0	340	19	생각하기도 싫네요..
130	2	340	49	
131	2	340	5	
132	5	340	26	
133	4	340	20	
134	2	340	23	
135	4	340	28	
136	1	340	34	
137	5	341	16	
138	3	341	28	
139	3	341	6	
140	5	341	21	
141	0	341	7	
142	4	341	30	
143	0	341	27	
144	4	341	34	
145	1	341	3	
146	0	342	7	
147	5	342	8	
148	1	342	17	
149	3	342	36	
150	3	342	10	
151	0	342	43	
152	2	342	26	
153	2	342	19	
154	0	343	20	
155	0	343	31	
156	2	343	3	
157	5	343	46	
158	3	343	48	
159	3	343	34	
160	1	343	5	
161	1	343	42	
162	4	343	7	
163	3	343	6	
164	5	343	50	
165	4	344	1	
166	4	344	43	
167	0	344	14	
168	1	344	41	
169	0	344	38	
170	3	344	30	
