node1	node2
142	141
141	140
140	139
139	138
138	144
144	143
143	142
143	145
145	146
146	133
133	134
134	132
132	131
131	130
130	129
129	128
128	127
127	126
126	133
126	125
125	124
124	123
123	122
122	319
319	121
121	120
120	119
119	118
118	117
117	318
318	116
116	310
310	115
115	147
138	137
137	136
136	135
135	133
125	136
136	114
22	319
114	113
113	317
21	117
18	310
317	2
317	112
112	111
111	110
110	109
109	108
108	309
309	11
309	107
107	115
147	148
148	149
149	107
107	106
106	105
105	104
114	104
104	103
103	102
102	101
101	100
100	99
149	150
150	151
151	152
152	311
19	311
311	153
153	154
154	333
333	13
333	155
155	156
156	157
157	158
158	159
159	160
160	154
160	161
161	153
161	328
328	14
328	162
162	163
174	163
173	174
173	172
172	275
275	159
275	274
274	273
163	23
163	329
329	164
164	165
172	171
158	179
179	178
178	177
177	175
175	170
170	171
175	279
279	180
180	181
279	176
176	169
169	170
169	168
168	167
167	166
166	165
166	313
313	190
190	191
10	313
167	187
187	312
312	183
183	182
183	280
280	312
280	184
16	312
184	185
185	186
186	187
186	188
188	189
189	190
184	281
281	198
198	197
197	196
196	185
196	195
195	194
194	189
191	327
327	20
327	192
192	193
193	194
195	199
199	200
200	201
201	193
201	202
202	326
326	24
326	203
192	316
316	9
316	255
255	206
203	204
204	205
205	206
205	288
288	289
289	290
290	291
291	292
292	293
293	294
294	295
295	302
302	301
301	300
300	299
299	298
298	297
297	296
296	315
315	294
315	3
303	296
303	304
304	301
303	295
304	314
314	15
314	305
305	306
306	307
307	308
308	305
308	303
205	282
282	214
214	283
283	213
213	207
207	206
214	285
285	284
284	283
284	211
211	213
211	210
210	287
287	286
286	285
210	212
212	209
209	208
208	207
255	254
254	58
58	253
58	54
54	53
53	52
52	50
50	330
330	5
330	47
47	46
46	53
50	51
51	49
49	48
48	47
49	42
42	40
40	41
41	37
37	38
38	39
325	39
325	17
325	43
43	42
43	44
48	44
44	45
46	45
45	56
56	35
35	38
35	36
36	37
324	56
324	4
324	55
55	54
57	55
253	59
57	33
33	35
33	34
34	36
31	33
32	34
31	32
31	30
30	29
29	28
28	32
26	27
27	28
26	29
26	65
65	66
66	30
66	61
61	57
61	60
60	331
331	8
331	252
252	59
60	62
62	215
215	64
64	65
70	64
70	68
68	26
26	248
248	323
323	7
323	249
68	217
249	250
218	217
218	67
67	216
216	63
63	64
63	62
63	256
256	257
257	262
262	261
261	260
260	259
259	258
258	332
332	257
332	12
258	266
266	265
265	264
264	263
263	259
266	267
267	191
67	219
219	69
69	73
73	74
74	72
72	220
220	6
220	322
322	251
251	71
71	250
72	321
321	1
321	77
77	223
223	79
79	76
76	74
76	75
75	73
75	78
78	91
91	79
225	91
92	225
225	226
226	227
227	92
224	222
224	223
222	221
221	77
78	268
268	269
269	270
270	271
271	272
272	273
92	88
88	228
228	224
228	80
80	222
231	80
231	230
230	229
229	228
229	90
90	88
90	89
89	87
87	232
232	230
232	81
81	231
81	320
320	25
320	82
82	84
84	83
87	86
86	82
86	98
98	85
85	83
98	97
97	89
89	233
233	234
234	235
235	236
236	96
96	97
96	237
237	95
95	238
238	239
239	240
240	241
241	242
242	243
243	244
244	245
245	246
246	247
247	83
85	93
93	94
94	278
278	277
277	276
276	99
181	182
137	334
102	335
337	277
342	345
299	345
345	300
341	285
340	211
344	244
336	95
338	236
339	330
