No	Name	Open	Close	Point
1	인하대학교진료소	8:30:00	19:00:00	300
2	가천대학교길진료소	7:15:00	20:00:00	290
3	인천성모진료소	9:00:00	18:00:00	284
4	검단탑병원	9:00:00	18:00:00	294
5	동인천길병원	7:00:00	19:30:00	293
6	국제성모병원	7:30:00	19:15:00	291
7	나사렛국제병원	9:00:00	18:00:00	292
8	나은병원	8:50:00	18:15:00	301
9	부평세림병원	7:00:00	21:30:00	286
10	성민병원	7:00:00	22:00:00	287
11	온누리진료소	7:00:00	18:30:00	289
12	인천광역시진료소	7:00:00	19:40:00	296
13	인천기독병원	7:45:00	19:20:00	303
14	인천사랑병원	7:15:00	19:50:00	297
15	인천적십자진료소	7:30:00	20:50:00	285
16	한림진료소	9:00:00	18:00:00	288
17	메디플렉스 세종진료소	8:10:00	21:00:00	302
18	인천백진료소	9:00:00	18:00:00	299
19	비에스종합병원	8:00:00	18:00:00	298
20	인천보훈병원	9:00:00	18:00:00	295
