node1	node2	name
142	141	봉수대로
141	140	봉수대로
140	139	봉수대로
139	138	봉수대로
138	144	봉수대로
144	143	봉수대로
143	142	봉수대로
143	145	봉수대로
145	146	봉수대로
146	133	봉수대로
133	134	봉수대로
134	132	봉수대로
132	131	봉수대로
131	130	봉수대로
130	129	봉수대로
129	128	봉수대로
128	127	봉수대로
127	126	봉수대로
126	133	서해대로
126	125	봉수대로
125	124	봉수대로
124	123	봉수대로
123	122	봉수대로
122	319	봉수대로
319	121	봉수대로
121	120	봉수대로
120	119	봉수대로
119	118	봉수대로
118	117	봉수대로
117	318	봉수대로
318	116	봉수대로
116	310	봉수대로
310	115	봉수대로
115	147	봉수대로
138	137	서해대로
137	136	서해대로
136	135	서해대로
135	133	서해대로
125	136	중봉대로
136	114	송화로
10	313	성민병원 입구
114	113	송화로
113	317	송화로
16	312	한림진료소 입구
18	310	인천백진료소 입구
321	1	인하대학교진료소 입구
317	112	송화로
112	111	송화로
111	110	송화로
110	109	송화로
109	108	송화로
108	309	송화로
317	2	가천대학교길진료소 입구
309	107	송화로
107	115	송화로
147	148	봉수대로
148	149	봉수대로
149	107	송화로
107	106	새천년로
106	105	새천년로
105	104	새천년로
114	104	새천년로
104	103	새천년로
103	102	새천년로
102	101	새천년로
101	100	새천년로
100	99	새천년로
149	150	봉수대로
150	151	봉수대로
151	152	봉수대로
152	311	봉수대로
19	311	비에스종합병원 입구
311	153	봉수대로
153	154	봉수대로
154	333	봉수대로
315	3	인천성모진료소 입구
333	155	봉수대로
155	156	봉수대로
156	157	봉수대로
157	158	봉수대로
158	159	참외전로
159	160	참외전로
160	154	금곡로
160	161	참외전로
161	153	금곡안로
161	328	참외전로
324	4	검단탑병원 입구
328	162	참외전로
162	163	참외전로
174	163	참외전로
173	174	참외전로
173	172	참외전로
172	275	참외전로
275	159	금곡로
275	274	참외전로
274	273	참외전로
330	5	동인천길병원 입구
163	329	금창로
329	164	금창로
164	165	금창로
172	171	만석부두로
158	179	봉수대로
179	178	봉수대로
178	177	봉수대로
177	175	봉수대로
175	170	만석부두로
170	171	만석부두로
175	279	봉수대로
279	180	금창로11번길
180	181	금창로11번길
279	176	봉수대로
176	169	봉수대로
169	170	보세로
