no	name	open	close	info	type	x	y
1	인하대학교진료소	8:30:00	19:00:00	인하대학교진료소입니다.	0	1694	1048
2	가천대학교길진료소	7:15:00	20:00:00	가천대학교길진료소입니다.	0	1007	441
3	인천성모진료소	9:00:00	18:00:00	인천성모진료소입니다.	0	691	1787
4	검단탑병원	9:00:00	18:00:00	검단탑병원입니다.	1	1483	1931
5	동인천길병원	7:00:00	19:30:00	동인천길병원입니다.	1	1362	2055
6	국제성모병원	7:30:00	19:15:00	국제성모병원입니다.	1	1707	1181
7	나사렛국제병원	9:00:00	18:00:00	나사렛국제병원입니다.	1	1694	1355
8	나은병원	8:50:00	18:15:00	나은병원입니다.	1	1503	1719
9	부평세림병원	7:00:00	21:30:00	부평세림병원입니다.	1	981	1723
10	성민병원	7:00:00	22:00:00	성민병원입니다.	1	949	1418
11	온누리진료소	7:00:00	18:30:00	온누리진료소입니다.	0	1024	618
12	인천광역시진료소	7:00:00	19:40:00	인천광역시진료소입니다.	0	1233	1550
13	인천기독병원	7:45:00	19:20:00	인천기독병원입니다.	1	964	931
14	인천사랑병원	7:15:00	19:50:00	인천사랑병원입니다.	1	1023	1084
15	인천적십자진료소	7:30:00	20:50:00	인천적십자진료소입니다.	0	584	1533
16	한림진료소	9:00:00	18:00:00	한림진료소입니다.	0	869	1364
17	메디플렉스 세종진료소	8:10:00	21:00:00	메디플렉스 세종진료소입니다.	0	1445	2238
18	인천백진료소	9:00:00	18:00:00	인천백진료소입니다.	0	1156	607
19	비에스종합병원	8:00:00	18:00:00	비에스종합병원입니다.	1	1036	924
20	인천보훈병원	9:00:00	18:00:00	인천보훈병원입니다.	1	975	1589
21	새누리아파트			새누리아파트입니다.	2	1163	492
22	아이파크			아이파크입니다.	2	1193	281
23	레미안			레미안입니다.	2	977	1202
24	아크로			아크로입니다.	2	912	1785
25	바이스 자이파크			바이스 자이파크입니다.	2	1718	685
26	도로26				3	1651	1423
27	도로27				3	1675	1439
28	도로28				3	1669	1558
29	도로29				3	1636	1538
30	도로30				3	1622	1576
31	도로31				3	1590	1685
32	도로32				3	1626	1702
33	도로33				3	1533	1849
34	도로34				3	1572	1864
35	도로35				3	1515	1979
36	도로36				3	1556	1987
37	도로37				3	1544	2106
38	도로38				3	1505	2098
39	도로39				3	1473	2228
40	도로40				3	1469	2298
41	도로41				3	1503	2269
42	도로42				3	1415	2291
43	도로43				3	1422	2215
44	도로44				3	1445	2130
45	도로45				3	1460	2017
46	도로46				3	1400	2016
47	도로47				3	1403	2076
48	도로48				3	1403	2132
49	도로49				3	1391	2283
50	도로50				3	1321	2077
51	도로51				3	1342	2194
52	도로52				3	1328	1962
53	도로53				3	1389	1943
54	도로54				3	1382	1906
55	도로55				3	1459	1907
56	도로56				3	1462	1971
57	도로57				3	1474	1823
58	도로58				3	1366	1814
59	도로59				3	1453	1784
60	도로60				3	1507	1671
61	도로61				3	1537	1683
62	도로62				3	1510	1561
63	도로63				3	1513	1494
64	도로64				3	1539	1491
65	도로65				3	1595	1504
66	도로66				3	1578	1543
67	도로67				3	1561	1300
68	도로68				3	1588	1406
69	도로69				3	1590	1190
70	도로70				3	1549	1446
71	도로71				3	1669	1249
72	도로72				3	1673	1109
73	도로73				3	1635	1137
74	도로74				3	1649	1117
75	도로75				3	1598	1068
76	도로76				3	1623	1049
77	도로77				3	1675	1010
78	도로78				3	1570	1003
79	도로79				3	1624	1009
80	도로80				3	1695	840
