no	building	rate	user	review
1	1	2	46	그닥…
2	1	4	32	시설이 좋아요.
3	1	4	48	직원분들이 친절해요.
4	1	2	20	이상한 냄새가 나요.
5	1	4	50	제가 가본 곳 중에서 가장 괜찮았던 것 같아요.
6	1	2	24	엄청 오래 기달렸습니다..
7	2	5	34	최고에요
8	2	4	50	
9	2	1	37	
10	2	4	47	
11	2	2	39	
12	3	3	30	괜찮았던 것 같습니다.
13	3	3	11	
14	3	5	36	시설이 엄청 깔끔했어요.
15	3	4	8	
16	4	5	19	직원분들이 엄청 친절했습니다!!
17	4	5	5	
18	4	2	28	
19	5	2	21	
20	6	1	9	최악이었습니다..
21	6	2	23	
22	6	1	32	절대 오고 싶지 않은 곳
23	6	4	31	
24	7	2	15	
25	7	2	27	
26	7	5	44	
27	7	1	45	
28	8	5	28	
29	8	1	6	
30	8	5	43	
31	8	1	34	
32	9	1	38	
33	9	4	15	
34	9	2	14	
35	9	3	49	
36	9	3	2	
37	10	2	21	
38	10	4	48	
39	10	4	20	
40	11	3	45	
41	11	4	35	시설 좋네요.
42	11	1	11	
43	11	3	32	
44	12	3	17	
45	12	1	8	
46	12	1	6	
47	12	4	31	
48	12	4	29	
49	12	1	50	
50	13	1	23	
51	13	2	36	
52	13	5	34	
53	13	4	8	
54	13	1	26	
55	13	1	9	
56	14	1	25	
57	14	3	8	
58	14	4	6	
59	15	3	49	
60	15	4	4	
61	15	5	46	
62	15	1	11	
63	15	2	28	
64	15	1	36	
65	15	4	18	
66	16	3	3	
67	16	5	36	
68	17	1	9	
69	17	4	46	
70	17	4	6	
71	17	1	32	
72	17	5	49	
73	17	5	16	
74	18	1	25	
75	18	1	13	
76	18	4	1	
77	18	1	17	
78	19	5	5	
79	19	1	19	
80	19	4	41	
81	19	5	27	
82	20	3	41	
83	20	5	27	
84	20	1	39	
85	20	4	37	
86	334	4	15	
87	334	3	8	
88	334	3	1	
89	334	1	38	
90	334	3	16	
91	334	4	49	
92	334	3	32	
93	334	3	21	
94	334	5	3	
95	335	4	27	
96	335	1	7	
97	335	4	37	
98	335	4	42	
99	335	5	38	
100	335	1	2	
101	335	5	3	
102	336	5	7	
103	336	5	28	
104	336	1	49	
105	336	2	27	
106	336	5	33	지금 까지 가본 병원 중에서 가장 좋았던 것 같습니다.
107	336	4	21	
108	336	1	34	
109	337	2	42	
110	337	1	7	
111	337	5	32	
112	337	5	27	
113	337	3	20	
114	338	1	46	
115	338	2	33	
116	338	1	19	
117	338	1	21	
118	338	2	14	
119	338	1	47	
120	339	2	32	
121	339	5	10	
122	339	5	12	
123	339	4	17	
124	339	1	36	
125	339	5	33	
126	339	1	13	
127	340	2	50	
128	340	3	6	
129	340	1	19	생각하기도 싫네요..
130	340	2	49	
131	340	2	5	
132	340	5	26	
133	340	4	20	
134	340	2	23	
135	340	4	28	
136	340	1	34	
137	341	5	16	
138	341	3	28	
139	341	3	6	
140	341	5	21	
141	341	1	7	
142	341	4	30	
143	341	1	27	
144	341	4	34	
145	341	1	3	
146	342	1	7	
147	342	5	8	
148	342	1	17	
149	342	3	36	
150	342	3	10	
151	342	1	43	
152	342	2	26	
153	342	2	19	
154	343	1	20	
155	343	1	31	
156	343	2	3	
157	343	5	46	
158	343	3	48	
159	343	3	34	
160	343	1	5	
161	343	1	42	
162	343	4	7	
163	343	3	6	
164	343	5	50	
165	344	4	1	
166	344	4	43	
167	344	1	14	
168	344	1	41	
169	344	1	38	
170	344	3	30	
