No	Name	Point	Region	Vaccine	Open	Close	Type
1	인하대학교진료소	29	4	4	09:00:00	18:00:00	2
2	가천대학교길진료소	30	5	1	09:00:00	18:00:00	2
3	인천성모진료소	60	2	1	09:00:00	18:00:00	2
4	검단탑병원	23	4	4	08:30:00	19:00:00	1
5	동인천길병원	49	5	1	07:00:00	19:30:00	1
6	국제성모병원	10	5	4	07:30:00	19:15:00	1
7	나사렛국제병원	4	5	4	07:15:00	20:00:00	1
8	나은병원	47	1	3	08:10:00	21:00:00	1
9	부평세림병원	52	2	2	07:00:00	21:30:00	1
10	성민병원	59	6	4	07:00:00	22:00:00	1
11	온누리진료소	71	6	3	07:00:00	18:30:00	2
12	인천광역시진료소	7	5	2	08:50:00	18:15:00	2
13	인천기독병원	98	2	2	07:45:00	19:20:00	1
14	인천사랑병원	80	7	1	07:15:00	19:50:00	1
15	인천적십자진료소	83	6	4	08:00:00	18:00:00	2
16	한림진료소	93	2	4	09:00:00	18:00:00	2
17	메디플렉스 세종진료소	75	6	3	09:00:00	18:00:00	2
18	인천백진료소	69	1	1	09:00:00	18:00:00	2
19	비에스종합병원	51	6	1	07:30:00	20:50:00	1
20	인천보훈병원	90	5	2	07:00:00	19:40:00	1
