No	X	Y	Type
1	1	1	3
2	1	2	1
3	1	3	2
4	1	4	2
5	1	5	4
6	1	6	3
7	1	7	1
8	1	8	3
9	1	9	4
10	1	10	2
11	1	11	1
12	1	12	4
13	1	13	3
14	1	14	1
15	1	15	3
16	2	1	1
17	2	2	4
18	2	3	2
19	2	4	3
20	2	5	1
21	2	6	4
22	2	7	1
23	2	8	2
24	2	9	2
25	2	10	4
26	2	11	3
27	2	12	1
28	2	13	3
29	2	14	3
30	2	15	3
31	3	1	1
32	3	2	3
33	3	3	3
34	3	4	4
35	3	5	4
36	3	6	1
37	3	7	3
38	3	8	4
39	3	9	4
40	3	10	1
41	3	11	2
42	3	12	2
43	3	13	4
44	3	14	1
45	3	15	1
46	4	1	2
47	4	2	3
48	4	3	3
49	4	4	2
50	4	5	1
51	4	6	1
52	4	7	2
53	4	8	4
54	4	9	1
55	4	10	3
56	4	11	4
57	4	12	4
58	4	13	1
59	4	14	2
60	4	15	3
61	5	1	2
62	5	2	1
63	5	3	2
64	5	4	3
65	5	5	4
66	5	6	2
67	5	7	2
68	5	8	4
69	5	9	3
70	5	10	2
71	5	11	2
72	5	12	4
73	5	13	1
74	5	14	4
75	5	15	3
76	6	1	1
77	6	2	1
78	6	3	2
79	6	4	2
80	6	5	4
81	6	6	2
82	6	7	4
83	6	8	2
84	6	9	3
85	6	10	1
86	6	11	3
87	6	12	2
88	6	13	4
89	6	14	4
90	6	15	3
91	7	1	4
92	7	2	2
93	7	3	1
94	7	4	4
95	7	5	3
96	7	6	3
97	7	7	1
98	7	8	1
99	7	9	1
100	7	10	4
