r_no	m_no	s_no	r_date	r_price
1	1	1	2022-08-31	1395000
2	2	5	2022-09-01	2100000
3	5	3	2022-09-01	3080000
4	4	5	2022-09-02	2380000
5	6	2	2022-09-01	400000
6	7	45	2022-09-01	1572500
7	6	2	2022-09-03	706000
8	8	15	2022-09-03	1960000
9	8	11	2022-09-01	2295000
10	1	14	2022-09-01	1790000
11	2	2	2022-09-03	710000
12	4	3	2022-08-31	2160000
13	3	4	2022-09-02	1530000
14	9	6	2022-09-02	925000
15	9	7	2022-09-03	900000
16	1	9	2022-09-03	1387500
17	11	8	2022-09-03	3200000
18	13	10	2022-09-03	832500
19	13	12	2022-09-03	3400000
20	12	15	2022-08-31	3773000
21	10	14	2022-09-01	3195000
22	6	13	2022-09-01	555000
23	18	17	2022-08-31	2550000
24	17	16	2022-08-31	1840000
25	17	15	2022-09-02	1960000
26	10	18	2022-09-03	1394900
27	19	19	2022-09-02	1040000
28	19	21	2022-09-02	462500
29	4	22	2022-09-03	3960000
30	20	20	2022-09-03	1767000
31	25	26	2022-09-01	1530000
32	1	24	2022-08-31	2382475
33	24	23	2022-08-31	810000
34	23	26	2022-08-31	1215000
35	15	27	2022-08-31	1572500
36	22	28	2022-09-03	3000000
37	13	39	2022-09-01	1508000
38	16	29	2022-08-31	1155000
39	6	30	2022-08-31	3465000
40	23	31	2022-09-03	4186000
41	24	34	2022-09-03	1404000
42	14	32	2022-09-03	850000
43	15	33	2022-09-03	2148900
44	11	36	2022-09-02	887500
45	20	37	2022-09-02	7700000
46	21	38	2022-09-02	3272500
47	17	40	2022-09-03	1040000
48	14	39	2022-09-01	2148900
49	16	41	2022-08-31	900000
50	15	45	2022-08-31	2422500
51	1	42	2022-09-01	1920000
52	3	43	2022-08-31	1500000
53	2	44	2022-08-31	450000
54	18	46	2022-09-03	3700000
55	19	48	2022-08-31	1530000
56	20	49	2022-09-01	1925000
57	21	47	2022-09-01	1110000
58	14	49	2022-08-31	1500000
59	1	53	2022-08-31	3145000
60	21	52	2022-08-31	525000
61	15	50	2022-09-03	555000
62	23	59	2022-09-01	1665000
63	25	58	2022-09-01	900000
64	25	56	2022-09-03	2280000
65	19	55	2022-09-03	900000
66	2	54	2022-09-01	2128900
67	4	52	2022-08-31	2025000
68	10	51	2022-08-31	2280000
69	23	57	2022-09-02	1387500
70	16	60	2022-09-03	2700000
71	18	61	2022-09-03	855000
72	21	66	2022-09-03	3000000
73	11	64	2022-09-01	3395970
74	1	63	2022-09-03	950000
75	4	65	2022-09-02	12610000
76	3	62	2022-09-02	3465000
77	6	68	2022-09-01	2295000
78	19	67	2022-09-03	6295000
79	3	69	2022-08-31	5550000
80	15	70	2022-09-03	7395000
81	1	71	2022-09-03	2550000
82	8	77	2022-09-01	2118900
83	6	73	2022-08-31	6236850
84	25	72	2022-08-31	5755000
85	23	77	2022-09-01	2035800
86	4	78	2022-08-31	1560000
87	6	79	2022-08-31	1581000
88	1	80	2022-09-03	2167500
89	7	87	2022-09-03	2695770
90	2	89	2022-09-01	3600000
91	14	88	2022-08-31	3080000
92	21	60	2022-08-31	1850000
93	22	80	2022-08-31	3400000
94	19	89	2022-09-02	2295000
95	25	81	2022-09-02	2262000
96	7	43	2022-09-03	2025000
97	9	82	2022-09-02	1482000
98	10	81	2022-09-02	2262000
99	16	85	2022-09-03	3465000
100	19	84	2022-08-31	1212500
101	20	86	2022-08-31	950000
102	24	90	2022-09-01	2100000
103	23	91	2022-08-31	925000
104	6	94	2022-09-01	2662500
105	16	92	2022-09-03	1155000
106	17	99	2022-09-02	2416500
107	19	98	2022-09-02	727500
108	3	93	2022-09-01	2400000
109	5	100	2022-09-01	2580740
110	2	151	2022-09-03	6390000
111	1	234	2022-09-02	10500000
112	7	456	2022-09-02	3435000
113	5	123	2022-09-03	7770000
114	19	153	2022-09-01	8645000
115	3	632	2022-08-31	5975000
116	24	3	2022-08-31	3080000
117	12	2	2022-09-02	940000
118	19	1	2022-09-02	765000
119	18	9	2022-09-03	2887500
120	5	78	2022-09-01	1482000
121	8	35	2022-09-03	1581000
122	3	5	2022-09-02	2100000
123	14	8	2022-09-02	3030000
124	20	365	2022-09-02	1160000
125	4	36	2022-08-31	1100000
126	8	54	2022-08-31	3646900
127	7	252	2022-09-01	2137500
128	1	375	2022-09-01	400000
129	2	375	2022-09-01	440000
130	5	567	2022-09-02	9625000
131	4	456	2022-09-02	4365000
132	3	165	2022-09-01	600000
133	6	346	2022-09-03	528000
134	9	645	2022-09-01	1120000
135	8	634	2022-09-03	2550000
136	7	644	2022-09-02	1850000
137	10	624	2022-09-02	7440000
138	24	611	2022-09-02	3240000
139	22	342	2022-09-02	816500
140	14	354	2022-09-03	1200000
141	13	23	2022-09-01	1155000
142	12	23	2022-09-03	1155000
143	25	72	2022-09-02	5325000
144	23	15	2022-09-02	3773000
145	24	143	2022-08-31	2705000
146	19	213	2022-09-01	4275000
147	18	234	2022-09-03	9240000
148	16	256	2022-09-02	342000
149	17	278	2022-09-02	7200000
150	15	209	2022-09-01	1925000
151	14	34	2022-09-03	1482000
152	4	301	2022-09-02	2565000
153	2	305	2022-09-02	1065000
154	5	456	2022-09-03	2700000
155	1	342	2022-09-01	425500
156	7	15	2022-09-01	3920000
157	4	422	2022-09-01	3404000
158	2	11	2022-09-01	1445000
159	5	2	2022-09-01	570000
160	2	53	2022-08-31	3390000
161	6	45	2022-09-03	3272500
162	15	65	2022-09-03	9620000
163	14	23	2022-08-31	510000
164	13	123	2022-08-31	10185000
165	10	453	2022-09-01	2707500
166	14	34	2022-09-01	2080000
167	1	9	2022-09-02	2775000
168	2	89	2022-09-02	3195000
169	12	87	2022-08-31	2800800
170	15	78	2022-09-03	2002000
171	1	67	2022-09-03	8035000
172	7	67	2022-08-31	7455000
173	9	56	2022-09-03	2280000
174	10	4	2022-08-31	1800000
175	16	43	2022-08-31	1387500
176	19	34	2022-08-31	1560000
177	20	3	2022-09-01	2960000
178	24	2	2022-08-31	570000
179	1	1	2022-08-31	765000
180	4	12	2022-09-02	3000000
181	2	34	2022-09-02	2522000
182	1	5	2022-09-02	2100000
183	4	21	2022-09-03	675000
184	7	43	2022-09-03	2025000
185	9	45	2022-09-01	3272500
186	10	6	2022-09-03	1925000
187	16	7	2022-09-02	850000
188	19	8	2022-09-02	2137000
189	20	6	2022-09-02	1775000
190	24	67	2022-09-03	6300000
