a_no	a_code	a_name	a_latitude	a_longitude
1	ICN	서울/인천	37.46771614 	126.43492189 
2	CJU	제주	33.50704455 	126.49273261 
3	NRT	도쿄/나리타	35.54959395 	139.77987078 
4	PEK	베이징	40.10033157 	116.59901617 
5	SHA	상하이/홍차오	31.16562298 	121.80333932 
6	KIX	오사카/간사이	34.43219706 	135.23032953 
7	HKG	홍콩	22.30829513 	113.91843788 
8	SIN	싱가포르	1.36449528 	103.99155226 
9	JFK	뉴욕/존F케네디,NY	40.64165343 	-73.77835663 
10	LAX	로스앤젤레스,CA	33.94180250 	-118.40855146 
11	SEA	시애틀,WA	47.45028615 	-122.30882723 
12	LHR	런던/히드로	51.47004233 	-0.45430623 
13	FCO	로마/다빈치	41.80345937 	12.25190353 
14	GUM	괌	13.48566616 	144.80013770 
15	SYD	시드니	-33.94999878 	151.18192313 
