mi_no	m_no	mi_income	mi_expense
1	1	13650	
2	2	21000	
3	5	30800	
4	4	23800	
5	6	4000	
6	7	15725	
7	6		4000
8	8	19600	
9	8	22950	
10	1		10000
11	2	7100	
12	4	21600	
13	3	15300	
14	9	9250	
15	9	9000	
16	1	13875	
17	11	32000	
18	13	8325	
19	13	34000	
20	12	37730	
21	10	31950	
22	6	5550	
23	18	25500	
24	17	18400	
25	17	19600	
26	10	13949	
27	19	10400	
28	19	4625	
29	4		40000
30	20	17670	
31	25	15300	
32	1		17525
33	24	8100	
34	23	12150	
35	15	15725	
36	22	30000	
37	13	15080	
38	16	11550	
39	6	34650	
40	23	41860	
41	24	14040	
42	14	8500	
43	15	21489	
44	11	8875	
45	20	77000	
46	21	32725	
47	17	10400	
48	14	21489	
49	16	9000	
50	15	24225	
51	1	19200	
52	3	15000	
53	2	4500	
54	18	37000	
55	19	15300	
56	20	19250	
57	21	11100	
58	14	15000	
59	1	31450	
60	21	5250	
61	15	5550	
62	23		35000
63	25	9000	
64	25	22800	
65	19	9000	
66	2		20000
67	4	20250	
68	10	22800	
69	23	13875	
70	16	27000	
71	18	8550	
72	21	30000	
73	11	33959	
74	1	9500	
75	4	126100	
76	3	34650	
77	6	22950	
78	19		5000
79	3	55500	
80	15		60000
81	1	25500	
82	8		30000
83	6		63150
84	25		20000
85	23	20358	
86	4	15600	
87	6	15810	
88	1	21675	
89	7	26957	
90	2	36000	
91	14	30800	
92	21	18500	
93	22	34000	
94	19	22950	
95	25	22620	
96	7	20250	
97	9	14820	
98	10	22620	
99	16	34650	
100	19	12125	
101	20	9500	
102	24	21000	
103	23	9250	
104	6	26625	
105	16	11550	
106	17		9000
107	19	7275	
108	3	24000	
109	5		10000
110	2	63900	
111	1	105000	
112	7		30000
113	5	77700	
114	19	86450	
115	3		25000
116	24	30800	
117	12	9400	
118	19	7650	
119	18	28875	
120	5	14820	
121	8	15810	
122	3	21000	
123	14		50000
124	20	11600	
125	4	11000	
126	8		10000
127	7	21375	
128	1	4000	
129	2	4400	
130	5	96250	
131	4	43650	
132	3	6000	
133	6	5280	
134	9		35000
135	8	25500	
136	7	18500	
137	10		60000
138	24	32400	
139	22	8165	
140	14	12000	
141	13	11550	
142	12	11550	
143	25	53250	
144	23	37730	
145	24		55000
146	19	42750	
147	18	92400	
148	16	3420	
149	17	72000	
150	15	19250	
151	14	14820	
152	4	25650	
153	2	10650	
154	5	27000	
155	1	4255	
156	7	39200	
157	4	34040	
158	2	14450	
159	5	5700	
160	2		10000
161	6	32725	
162	15	96200	
163	14	5100	
164	13	101850	
165	10	27075	
166	14	20800	
167	1	27750	
168	2	31950	
169	12	28008	
170	15	20020	
171	1		50000
172	7	74550	
173	9	22800	
174	10	18000	
175	16	13875	
176	19	15600	
177	20	29600	
178	24	5700	
179	1	7650	
180	4	30000	
181	2	25220	
182	1	21000	
183	4	6750	
184	7	20250	
185	9	32725	
186	10	19250	
187	16		50000
188	19		23000
189	20	17750	
190	24	63000	
