s_no	s_depart	s_arrival	s_time	s_price
1	1	2	3:00	300000
2	1	2	4:00	200000
3	1	2	12:00	800000
4	1	2	15:00	900000
5	1	3	4:00	700000
6	1	3	8:00	500000
7	1	3	12:00	300000
8	1	3	17:00	800000
9	1	4	6:00	750000
10	1	4	9:00	450000
11	1	4	14:00	850000
12	1	4	18:00	1000000
13	1	4	20:00	300000
14	1	5	7:00	900000
15	1	5	8:00	980000
16	1	5	12:00	920000
17	1	5	17:00	850000
18	1	5	21:00	754000
19	1	6	7:00	520000
20	1	6	12:00	620000
21	1	6	16:00	250000
22	1	6	20:00	2000000
23	1	6	22:00	300000
24	1	6	23:00	800000
25	1	7	4:00	750000
26	1	7	8:00	450000
27	1	7	17:00	850000
28	1	7	20:00	1000000
29	1	7	23:00	300000
30	1	8	4:00	900000
31	1	8	8:00	920000
32	1	8	10:00	850000
33	1	8	14:00	754000
34	1	8	19:00	520000
35	1	9	6:00	620000
36	1	9	12:00	250000
37	1	9	16:00	2000000
38	1	9	20:00	850000
39	1	9	23:00	754000
40	1	9	23:30	520000
41	1	10	4:00	300000
42	1	10	8:00	800000
43	1	10	12:00	750000
44	1	10	16:00	450000
45	1	10	20:00	850000
46	1	10	22:00	1000000
47	1	11	12:00	300000
48	1	11	16:00	900000
49	1	11	19:00	500000
50	1	11	22:00	300000
51	1	11	23:00	800000
52	1	11	23:30	750000
53	1	12	4:00	850000
54	1	12	8:00	754000
55	1	12	10:00	300000
56	1	12	14:00	800000
57	1	12	16:00	750000
58	1	12	19:00	450000
59	1	13	23:00	850000
60	1	13	12:00	1000000
61	1	13	15:00	300000
62	1	13	19:00	900000
63	1	14	9:00	950000
64	1	14	11:00	700200
65	1	14	15:00	2600000
66	1	14	19:30	1500000
67	1	14	23:20	2100000
68	1	15	3:00	850000
69	1	15	9:00	1500000
70	1	15	12:00	2100000
71	1	15	15:30	850000
72	1	15	18:30	1500000
73	2	1	8:00	2100000
74	2	1	9:00	2000000
75	2	1	11:00	920000
76	2	1	12:00	850000
77	2	3	5:20	754000
78	2	3	10:00	520000
79	2	3	19:00	620000
80	2	3	22:00	850000
81	2	3	23:00	754000
82	2	4	9:00	520000
83	2	4	11:00	620000
84	2	4	19:00	250000
85	2	4	23:00	900000
86	2	5	2:00	950000
87	2	5	6:00	700200
88	2	5	13:00	800000
89	2	5	19:00	900000
90	2	6	3:00	700000
91	2	6	7:20	500000
92	2	6	10:30	300000
93	2	6	12:00	800000
94	2	6	19:00	750000
95	2	7	6:00	900000
96	2	7	10:00	700200
97	2	7	15:00	2600000
98	2	7	23:00	150000
99	2	8	3:00	630000
100	2	8	7:00	700200
101	2	8	11:30	2600000
102	2	8	16:10	1500000
103	2	9	5:20	2100000
104	2	9	10:30	850000
105	2	9	15:00	260000
106	2	9	23:00	120000
107	2	10	6:00	520000
108	2	10	14:00	980000
109	2	10	16:00	920000
110	2	10	19:40	850000
111	2	10	22:40	754000
112	2	11	1:00	520000
113	2	11	6:00	620000
114	2	11	16:00	250000
115	2	12	9:00	260000
116	2	12	11:00	120000
117	2	12	12:00	520000
118	2	13	3:00	2000000
119	2	13	11:00	900000
120	2	13	16:30	700200
121	2	13	19:20	2600000
122	2	14	11:00	1500000
123	2	14	15:00	2100000
124	2	14	16:00	2000000
125	2	15	19:00	150000
126	2	15	22:00	630000
127	2	15	23:40	150000
128	2	15	23:00	800000
129	3	1	9:00	900000
130	3	1	11:00	700000
131	3	1	15:00	500000
132	3	1	21:00	300000
133	3	2	12:00	800000
134	3	2	15:00	750000
135	3	2	16:00	700200
136	3	2	19:00	2600000
137	3	4	9:00	1500000
138	3	4	11:00	2100000
139	3	4	15:00	850000
140	3	4	23:00	1000000
141	3	5	3:00	1000000
142	3	5	5:20	980000
143	3	5	10:30	920000
144	3	5	15:00	850000
145	3	5	21:00	754000
146	3	6	3:00	520000
147	3	6	5:20	620000
148	3	6	10:30	250000
149	3	6	15:00	150000
150	3	6	23:00	156000
151	3	7	4:00	1800000
152	3	7	11:00	120000
153	3	7	15:00	1900000
154	3	7	19:40	900000
155	3	8	12:00	700200
156	3	8	16:30	2600000
157	3	8	18:30	1500000
158	3	8	21:00	2100000
159	3	9	7:00	155200
160	3	9	14:00	820000
161	3	9	17:30	952000
162	3	9	23:30	1250000
163	3	10	9:00	160000
164	3	10	11:00	100000
165	3	10	15:30	150000
166	3	10	19:00	950000
167	3	11	6:00	230000
168	3	11	10:00	1500000
169	3	11	15:00	180000
170	3	11	23:00	215200
171	3	12	7:00	1200000
172	3	12	14:00	1200000
173	3	12	17:30	180000
174	3	12	23:30	215200
175	3	13	6:00	1200000
176	3	13	10:00	156000
177	3	13	15:00	1800000
178	3	13	23:00	1250000
179	3	14	9:00	160000
180	3	14	11:00	100000
181	3	14	17:00	150000
182	3	14	23:00	950000
183	3	15	7:00	230000
184	3	15	12:00	1500000
185	3	15	18:20	620000
186	3	15	21:40	1500000
187	4	1	3:00	2100000
188	4	1	11:00	2000000
189	4	1	14:20	1500000
190	4	1	23:00	1500000
191	4	2	3:20	2100000
192	4	2	7:20	155200
193	4	2	10:40	820000
194	4	2	23:00	952000
195	4	3	7:10	2980000
196	4	3	10:03	1250000
197	4	3	16:30	160000
198	4	5	2:20	100000
199	4	5	10:30	150000
200	4	5	23:00	950000
201	4	6	11:00	230000
202	4	6	12:30	1500000
203	4	6	19:29	2100000
204	4	6	22:30	155200
205	4	7	4:20	820000
206	4	7	11:00	952000
207	4	7	15:20	900000
208	4	7	19:20	700000
209	4	8	1:00	500000
210	4	8	4:00	300000
211	4	8	8:00	800000
212	4	8	11:00	750000
213	4	8	16:02	1500000
214	4	9	2:20	2100000
215	4	9	10:30	150000
216	4	9	23:00	156000
217	4	10	5:30	1800000
218	4	10	9:10	120000
219	4	10	14:30	2600000
220	4	11	9:10	1500000
221	4	11	15:30	2100000
222	4	11	19:30	155200
223	4	11	23:30	820000
224	4	12	6:00	952000
225	4	12	10:00	920000
226	4	12	15:00	850000
227	4	12	23:00	754000
228	4	13	7:00	520000
229	4	13	14:00	620000
230	4	13	17:30	250000
231	4	13	23:30	580000
232	4	14	7:00	2000000
233	4	14	14:00	520000
234	4	14	17:30	2100000
235	4	14	23:30	950000
236	4	15	3:00	1250000
237	4	15	7:01	1500000
238	4	15	15:03	2100000
239	4	15	19:30	155200
240	5	1	3:00	820000
241	5	1	7:01	952000
242	5	1	15:03	2100000
243	5	1	19:30	850000
244	5	2	3:02	2000000
245	5	2	10:04	2980000
246	5	2	14:02	1250000
247	5	2	21:03	160000
248	5	3	3:00	100000
249	5	3	7:01	500000
250	5	3	15:03	300000
251	5	3	19:30	800000
252	5	3	22:04	750000
253	5	4	3:20	150000
254	5	4	10:33	156000
255	5	4	23:00	1800000
256	5	6	2:20	120000
257	5	6	10:30	2980000
258	5	6	23:00	1250000
259	5	7	5:00	160000
260	5	7	10:00	580000
261	5	7	15:00	2000000
262	5	8	3:00	520000
263	5	8	9:30	2100000
264	5	8	10:32	950000
265	5	9	15:03	1250000
266	5	9	22:03	2000000
267	5	9	23:00	1000000
268	5	9	23:40	1500000
269	5	10	0:50	2100000
270	5	10	1:10	155200
271	5	10	15:32	820000
272	5	11	5:00	952000
273	5	11	10:00	1500000
274	5	11	15:00	2100000
275	5	12	1:10	850000
276	5	12	15:32	150000
277	5	13	5:03	156000
278	5	13	19:53	1800000
279	5	13	23:04	120000
280	5	14	5:03	700000
281	5	14	19:32	500000
282	5	15	6:01	300000
283	5	15	16:32	800000
284	5	15	23:03	750000
285	5	15	23:50	1000000
286	6	1	7:03	980000
287	6	1	12:03	920000
288	6	1	15:23	850000
289	6	1	23:00	754000
290	6	2	7:03	520000
291	6	2	9:02	620000
292	6	2	15:03	250000
293	6	2	19:02	1000000
294	6	2	23:00	500000
295	6	3	2:20	300000
296	6	3	10:30	800000
297	6	3	23:00	750000
298	6	4	4:00	1000000
299	6	4	8:00	980000
300	6	4	12:00	1498000
301	6	4	16:00	900000
302	6	5	4:00	700200
303	6	5	10:11	2600000
304	6	5	15:03	500000
305	6	5	19:32	300000
306	6	7	4:00	800000
307	6	7	8:00	750000
308	6	7	12:00	1000000
309	6	7	16:00	980000
310	6	8	4:00	150000
311	6	8	10:11	156000
312	6	8	20:01	1800000
313	6	9	1:32	120000
314	6	9	10:32	750000
315	6	9	23:01	1000000
316	6	10	5:00	980000
317	6	10	10:00	950000
318	6	10	15:00	980000
319	6	11	2:20	920000
320	6	11	10:30	850000
321	6	11	23:00	754000
322	6	12	4:00	520000
323	6	12	8:00	620000
324	6	12	12:00	250000
325	6	12	16:00	2980000
326	6	12	20:00	1250000
327	6	13	4:00	160000
328	6	13	10:11	100000
329	6	13	21:03	750000
330	6	14	1:32	1000000
331	6	14	10:32	980000
332	6	14	23:01	2000000
333	6	15	2:32	1800000
334	6	15	15:32	560000
335	6	15	23:00	2600000
336	7	1	2:33	1500000
337	7	1	14:03	2100000
338	7	1	22:00	850000
339	7	2	3:00	900000
340	7	2	15:32	700200
341	7	2	19:00	2600000
342	7	3	3:00	230000
343	7	3	15:00	150000
344	7	3	23:00	156000
345	7	4	1:32	1800000
346	7	4	15:32	120000
347	7	4	20:00	150000
348	7	5	4:00	156000
349	7	5	8:00	1800000
350	7	5	12:00	120000
351	7	5	16:00	900000
352	7	6	4:00	700000
353	7	6	8:00	500000
354	7	6	12:00	300000
355	7	6	16:00	800000
356	7	6	20:00	750000
357	7	8	5:00	950000
358	7	8	10:00	980000
359	7	8	15:00	920000
360	7	9	2:20	850000
361	7	9	10:30	2980000
362	7	9	23:00	1250000
363	7	9	23:30	160000
364	7	10	1:32	100000
365	7	10	10:32	290000
366	7	10	23:01	2300000
367	7	11	3:00	260000
368	7	11	15:00	580000
369	7	11	20:00	2000000
370	7	12	5:00	520000
371	7	12	10:00	2100000
372	7	12	15:00	950000
373	7	13	9:00	1250000
374	7	13	18:00	160000
375	7	14	4:00	100000
376	7	14	8:00	150000
377	7	14	12:00	950000
378	7	14	16:00	230000
379	7	15	5:00	1500000
380	7	15	10:00	980000
381	7	15	15:00	920000
382	7	15	23:00	850000
383	8	1	3:32	1800000
384	8	1	10:32	2980000
385	8	1	15:23	1250000
386	8	1	20:32	160000
387	8	2	6:00	100000
388	8	2	12:00	2000000
389	8	3	4:00	290000
390	8	3	8:00	2300000
391	8	3	12:00	260000
392	8	3	16:00	580000
393	8	4	6:00	160000
394	8	4	12:00	100000
395	8	5	7:00	150000
396	8	5	15:00	950000
